repo_name,username,repo_url,stars
ansible,ansible,http://github.com/ansible/ansible,52400
algo,trailofbits,http://github.com/trailofbits/algo,24900
streisand,StreisandEffect,http://github.com/StreisandEffect/streisand,22700
devops-exercises,bregman-arie,http://github.com/bregman-arie/devops-exercises,21600
kubespray,kubernetes-sigs,http://github.com/kubernetes-sigs/kubespray,12000
awx,ansible,http://github.com/ansible/awx,10700
kubeasz,easzlab,http://github.com/easzlab/kubeasz,7900
ansible-for-devops,geerlingguy,http://github.com/geerlingguy/ansible-for-devops,5500
homelab,khuedoan,http://github.com/khuedoan/homelab,5500
semaphore,ansible-semaphore,http://github.com/ansible-semaphore/semaphore,4800
rundeck,rundeck,http://github.com/rundeck/rundeck,4500
mac-dev-playbook,geerlingguy,http://github.com/geerlingguy/mac-dev-playbook,4400
DevOps-Guide,Tikam02,http://github.com/Tikam02/DevOps-Guide,4400
KubeOperator,KubeOperator,http://github.com/KubeOperator/KubeOperator,4200
DetectionLab,clong,http://github.com/clong/DetectionLab,3400
molecule,ansible-community,http://github.com/ansible-community/molecule,3300
opendevops,opendevops-cn,http://github.com/opendevops-cn/opendevops,3100
90DaysOfDevOps,MichaelCade,http://github.com/MichaelCade/90DaysOfDevOps,3100
werf,werf,http://github.com/werf/werf,3000
netboot.xyz,netbootxyz,http://github.com/netbootxyz/netboot.xyz,2900
OpsManage,welliamcao,http://github.com/welliamcao/OpsManage,2900
ansible-lint,ansible-community,http://github.com/ansible-community/ansible-lint,2700
ansible-collection-hardening,dev-sec,http://github.com/dev-sec/ansible-collection-hardening,2700
chrome-aws-lambda,alixaxel,http://github.com/alixaxel/chrome-aws-lambda,2600
litmus,litmuschaos,http://github.com/litmuschaos/litmus,2600
trellis,roots,http://github.com/roots/trellis,2300
deploy,ansistrano,http://github.com/ansistrano/deploy,2200
openshift-ansible,openshift,http://github.com/openshift/openshift-ansible,2100
ansible-cmdb,fboender,http://github.com/fboender/ansible-cmdb,2000
pytest-testinfra,pytest-dev,http://github.com/pytest-dev/pytest-testinfra,2000
