repo_name,username,repo_url,stars
public-apis,public-apis,http://github.com/public-apis/public-apis,185000
neovim,neovim,http://github.com/neovim/neovim,51500
strapi,strapi,http://github.com/strapi/strapi,43600
fastapi,tiangolo,http://github.com/tiangolo/fastapi,42900
hoppscotch,hoppscotch,http://github.com/hoppscotch/hoppscotch,38700
slate,slatedocs,http://github.com/slatedocs/slate,33800
graphql-engine,hasura,http://github.com/hasura/graphql-engine,26100
yapi,YMFE,http://github.com/YMFE/yapi,23700
ccxt,ccxt,http://github.com/ccxt/ccxt,23600
NeteaseCloudMusicApi,Binaryify,http://github.com/Binaryify/NeteaseCloudMusicApi,23100
django-rest-framework,encode,http://github.com/encode/django-rest-framework,23000
ItChat,littlecodersh,http://github.com/littlecodersh/ItChat,22100
normalizr,paularmstrong,http://github.com/paularmstrong/normalizr,20900
insomnia,Kong,http://github.com/Kong/insomnia,20100
security-guide-for-developers,FallibleInc,http://github.com/FallibleInc/security-guide-for-developers,20100
api-guidelines,microsoft,http://github.com/microsoft/api-guidelines,18700
rxdb,pubkey,http://github.com/pubkey/rxdb,17100
API-Security-Checklist,shieldfy,http://github.com/shieldfy/API-Security-Checklist,17000
directus,directus,http://github.com/directus/directus,14200
web3.js,ChainSafe,http://github.com/ChainSafe/web3.js,13900
learn-anything,learn-anything,http://github.com/learn-anything/learn-anything,13700
wxpy,youfou,http://github.com/youfou/wxpy,13200
jsdoc,jsdoc,http://github.com/jsdoc/jsdoc,12700
brain.js,BrainJS,http://github.com/BrainJS/brain.js,12500
free-api,fangzesheng,http://github.com/fangzesheng/free-api,12000
openapi-generator,OpenAPITools,http://github.com/OpenAPITools/openapi-generator,11500
postgraphile,graphile,http://github.com/graphile/postgraphile,11100
chi,go-chi,http://github.com/go-chi/chi,11100
httpbin,postmanlabs,http://github.com/postmanlabs/httpbin,10600
showdoc,star7th,http://github.com/star7th/showdoc,10300
