repo_name,username,repo_url,stars
infinite-scroll,metafizzy,http://github.com/metafizzy/infinite-scroll,7000
Blog,ljianshu,http://github.com/ljianshu/Blog,7000
unfetch,developit,http://github.com/developit/unfetch,5300
form,jquery-form,http://github.com/jquery-form/form,5100
tabulator,olifolkerd,http://github.com/olifolkerd/tabulator,4400
elFinder,Studio-42,http://github.com/Studio-42/elFinder,4200
reqwest,ded,http://github.com/ded/reqwest,2900
learn-to-send-email-via-google-script-html-no-server,dwyl,http://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server,2800
bliss,LeaVerou,http://github.com/LeaVerou/bliss,2400
wretch,elbywan,http://github.com/elbywan/wretch,2400
featherlight,noelboss,http://github.com/noelboss/featherlight,2000
Ajax-hook,wendux,http://github.com/wendux/Ajax-hook,2000
web-interview,yisainan,http://github.com/yisainan/web-interview,2000
jquery-confirm,craftpip,http://github.com/craftpip/jquery-confirm,1800
sente,ptaoussanis,http://github.com/ptaoussanis/sente,1600
Enterprise,joaomilho,http://github.com/joaomilho/Enterprise,1500
tracy,nette,http://github.com/nette/tracy,1500
jeeplatform,u014427391,http://github.com/u014427391/jeeplatform,1300
css-spinner,loadingio,http://github.com/loadingio/css-spinner,1300
pjax,MoOx,http://github.com/MoOx/pjax,1300
eCommerce,codingforentrepreneurs,http://github.com/codingforentrepreneurs/eCommerce,1200
uploader,danielm,http://github.com/danielm/uploader,1100
render_async,renderedtext,http://github.com/renderedtext/render_async,1000
saber,swlib,http://github.com/swlib/saber,947
RestClient,proyecto26,http://github.com/proyecto26/RestClient,875
tsrpc,k8w,http://github.com/k8w/tsrpc,856
infinite-ajax-scroll,webcreate,http://github.com/webcreate/infinite-ajax-scroll,847
opensource-socialnetwork,opensource-socialnetwork,http://github.com/opensource-socialnetwork/opensource-socialnetwork,842
rapid.js,rapidjs,http://github.com/rapidjs/rapid.js,709
JavaScriptStudy,csxiaoyaojianxian,http://github.com/csxiaoyaojianxian/JavaScriptStudy,599
