repo_name,username,repo_url,stars
amp,amphp,http://github.com/amphp/amp,3500
MadelineProto,danog,http://github.com/danog/MadelineProto,1900
http-server,amphp,http://github.com/amphp/http-server,1200
telegram-api,unreal4u,http://github.com/unreal4u/telegram-api,696
http-client,amphp,http://github.com/amphp/http-client,600
parallel,amphp,http://github.com/amphp/parallel,570
service-bus,php-service-bus,http://github.com/php-service-bus/service-bus,316
byte-stream,amphp,http://github.com/amphp/byte-stream,277
mysql,amphp,http://github.com/amphp/mysql,267
parallel-functions,amphp,http://github.com/amphp/parallel-functions,220
process,amphp,http://github.com/amphp/process,163
socket,amphp,http://github.com/amphp/socket,152
redis,amphp,http://github.com/amphp/redis,122
dns,amphp,http://github.com/amphp/dns,110
acme,kelunik,http://github.com/kelunik/acme,106
sync,amphp,http://github.com/amphp/sync,100
websocket-client,amphp,http://github.com/amphp/websocket-client,98
mailgrab,PeeHaa,http://github.com/PeeHaa/mailgrab,91
websocket-server,amphp,http://github.com/amphp/websocket-server,74
file,amphp,http://github.com/amphp/file,72
asynit,jolicode,http://github.com/jolicode/asynit,68
cache,amphp,http://github.com/amphp/cache,66
serialization,amphp,http://github.com/amphp/serialization,65
postgres,amphp,http://github.com/amphp/postgres,63
windows-registry,amphp,http://github.com/amphp/windows-registry,61
hpack,amphp,http://github.com/amphp/hpack,60
beanstalk,amphp,http://github.com/amphp/beanstalk,57
ridge,phpinnacle,http://github.com/phpinnacle/ridge,45
aerys,amphp,http://github.com/amphp/aerys,42
cluster,amphp,http://github.com/amphp/cluster,41
